month,county_join,county_label,state_join,state_label,settlement_count,assessment_count,,,,,
2019-12-01,Magwi,Magwi,EasternEquatoria,Eastern Equatoria,137,8,,,,,
2019-12-01,Torit,Torit,EasternEquatoria,Eastern Equatoria,242,12,,,,,
2019-12-01,Akobo,Akobo,Jonglei,Jonglei,189,36,,,,,
2019-12-01,Ayod,Ayod,Jonglei,Jonglei,274,38,,,,,
2019-12-01,BorSouth,Bor South,Jonglei,Jonglei,420,41,,,,,
2019-12-01,CanalPigi,Canal/Pigi,Jonglei,Jonglei,128,24,,,,,
2019-12-01,Duk,Duk,Jonglei,Jonglei,126,15,,,,,
2019-12-01,Fangak,Fangak,Jonglei,Jonglei,218,30,,,,,
2019-12-01,Nyirol,Nyirol,Jonglei,Jonglei,223,24,,,,,
2019-12-01,Pibor,Pibor,Jonglei,Jonglei,354,0,,,,,
2019-12-01,Pochalla,Pochalla,Jonglei,Jonglei,75,0,,,,,
2019-12-01,TwicEast,Twic East,Jonglei,Jonglei,222,21,,,,,
2019-12-01,Uror,Uror,Jonglei,Jonglei,212,24,,,,,
2019-12-01,Awerial,Awerial,Lakes,Lakes,203,50,,,,,
2019-12-01,Cueibet,Cueibet,Lakes,Lakes,395,24,,,,,
2019-12-01,RumbekCentre,Rumbek Centre,Lakes,Lakes,371,32,,,,,
2019-12-01,RumbekEast,Rumbek East,Lakes,Lakes,388,21,,,,,
2019-12-01,RumbekNorth,Rumbek North,Lakes,Lakes,116,11,,,,,
2019-12-01,Wulu,Wulu,Lakes,Lakes,142,9,,,,,
2019-12-01,YirolEast,Yirol East,Lakes,Lakes,367,51,,,,,
2019-12-01,YirolWest,Yirol West,Lakes,Lakes,359,44,,,,,
2019-12-01,AweilCentre,Aweil Centre,NorthernBahrelGhazal,Northern Bahr el Ghazal,217,27,,,,,
2019-12-01,AweilEast,Aweil East,NorthernBahrelGhazal,Northern Bahr el Ghazal,714,52,,,,,
