"","NAME","NAMEJOIN","NAMECOUNTY","COUNTYJOIN","DATE","DATA_SOURC","IMG_VERIFD","X","Y","INDEX","P_CODE","ALT_NAME1","ALT_NAME2","ALT_NAME3","ALT_NAME4","STATEJOIN","PAYAM","BOMA","FUNC_CLASS","CONF_SCORE","SRC_VERIFD","SRC_V_REM"
"9752","Makuac-Pacholdoor","Makuac_pacholdoor","Makuac_pacholdoorRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.71819,7.69936,13610,"BM-0924","","","","","Lakes","Maper","Maper Centre",8,20,0,"inside County"
"9753","Maker","Maker","MakerRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.78814,7.69956,13537,"BM-0850","","","","","Lakes","Madol","Panhiam-acot",6,20,0,"inside County"
"9754","Maper","Maper","MaperRumbekNorth","RumbekNorth",NA,"UNMISS, NBS Lakes, WFP",1,29.715,7.69972,13606,"BM-0920","Maper (Lakes)","","","","Lakes","Maper","",3,110,1,"GPS UNMIS Rumbek TS 2010,"
"9755","Kony","Kony","KonyAkobo","Akobo",NA,"OCHA COD, NBS Jonglei",1,33.0321,7.69979,971,"BP-0288","","","","","Jonglei","Nyandit","Mer",6,20,1,""
"9756","Luongemeth","Luongemeth","LuongemethPanyijiar","Panyijiar",2019-05-29,"AOK",NA,30.22285,7.62746,18799,"","","","","","Unity","Kol","",6,30,0,""
"9757","Zhuanggni","Zhuanggni","ZhuanggniPanyijiar","Panyijiar",NA,"VAS",1,30.22285,7.71237,15636,"BN-1675","","","","","Unity","Nyal","Janglow",6,30,1,"GPS"
"9758","Deupor","Deupor","DeuporYirolWest","YirolWest",NA,"VAS",0,30.22412,6.45573,12343,"BN-0475","","","","","Lakes","Gher","Ger Centre",6,30,1,"GPS"
"9759","Kengkhor","Kengkhor","KengkhorDuk","Duk",NA,"OCHA COD, NBS Jonglei",1,31.30501,7.70003,571,"BN-0276","","","","","Jonglei","Dongchak","Amiel",6,20,1,""
"9760","KhorGana","KHOR_GANA","KHOR_GANAWau","Wau",NA,"OCHA COD",1,27.96887,7.70023,5637,"BL-0859","","","","","WesternBahrelGhazal","Wau North","HAI KHORGANA",6,10,0,""
"9761","Tumafe","Tumafe","TumafeWau","Wau",NA,"WFP, UNMISS, NBS Western Bahr el Ghazal",0,27.8751,7.70033,5548,"BL-0195","","","","","WesternBahrelGhazal","Besselia","",6,40,1,"GPS - ACTED, GPS - ACTED"
"9762","TiepKel","Tiep_Kel","Tiep_KelAkobo","Akobo",NA,"WFP",0,32.69151,7.70045,904,"BO-0179","","","","","Jonglei","Bilkey","",6,20,1,""
"9763","Nyangni","Nyangni","NyangniPanyijiar","Panyijiar",NA,"VAS, OCHA COD, NBS Unity, EMIS",1,30.20133,7.7006,15613,"BN-1652","Nyindong","Nyandong","","","Unity","Nyal","Youp",6,50,1,"GPS"
"9764","Fakka","Fakka","FakkaRaja","Raja",NA,"WFP",1,26.37306,7.70073,8313,"BK-0032","","","","","WesternBahrelGhazal","Uyujuku","",6,20,1,""
"9765","Nyingoany","Nyingoany","NyingoanyPanyijiar","Panyijiar",NA,"VAS",1,30.22283,7.70098,15614,"BN-1653","","","","","Unity","Nyal","Nyingoang",6,30,1,"GPS"
"9766","Makuar","Makuar","MakuarPanyijiar","Panyijiar",NA,"VAS",0,30.18498,7.70115,15615,"BN-1654","","","","","Unity","Nyal","Youp",6,30,1,"GPS"
"9767","DropZone","Drop_Zone","Drop_ZonePanyijiar","Panyijiar",NA,"VAS",0,30.24253,7.70123,15616,"BN-1655","","","","","Unity","Nyal","Palual",6,10,0,"Calculated"
"9768","Wudlel","Wudlel","WudlelPanyijiar","Panyijiar",NA,"VAS",0,30.07497,7.70162,15617,"BN-1656","","","","","Unity","Mayom2","Wuding",6,30,1,"GPS"
"9769","Pagol","Pagol","PagolTonjNorth","TonjNorth",NA,"VAS",1,28.57967,7.70165,6622,"BM-0168","","","","","Warrap","Pagol","Mayen-Loc",6,30,1,"GPS"
"9770","TharDhunya","Thar_Dhunya","Thar_DhunyaLeer","Leer",NA,"VAS",1,30.22412,8.31368,15951,"BE-0819","","","","","Unity","Adok","Dindin One",6,30,1,"GPS"
"9771","KueryiekaCentre","Kueryieka_Centre","Kueryieka_CentrePanyijiar","Panyijiar",NA,"VAS",1,30.24645,7.70183,15618,"BN-1657","","","","","Unity","Nyal","Kueryieka",6,30,1,"GPS"
"9772","HaiKalvario5","HAI_KALVARIO_5","HAI_KALVARIO_5Wau","Wau",NA,"OCHA COD",1,27.98517,7.70227,5633,"BL-0855","","","","","WesternBahrelGhazal","Wau North","HAI KALVARIO",6,10,0,""
"9773","NgolimboA","NGOLIMBO__A","NGOLIMBO__AWau","Wau",NA,"OCHA COD",0,27.84241,7.70246,5722,"BL-0946","","","","","WesternBahrelGhazal","Besselia","NGOLIMBO",6,10,0,""
"9774","Kueryaka","Kueryaka","KueryakaPanyijiar","Panyijiar",NA,"OCHA IDP, UNMISS",1,30.24898,7.70256,15619,"BN-1658","","","","","Unity","Nyal","",7,40,1,"MSF"
"9775","Joachur","Joachur","JoachurAyod","Ayod",NA,"AOK",0,30.6459,7.70291,18282,"","","","","","Jonglei","Pajiek","",6,30,0,""
"9776","HaiBafara","HAI_BAFARA","HAI_BAFARAWau","Wau",NA,"OCHA COD",1,27.97941,7.70315,5632,"BL-0854","","","","","WesternBahrelGhazal","Wau North","HAI FALATA",6,10,0,""
"9777","HaiJalaba","HAI_JALABA","HAI_JALABAWau","Wau",NA,"OCHA COD",1,28.00285,7.70348,5638,"BL-0860","","","","","WesternBahrelGhazal","Wau South","JALABA",6,10,0,""
"9778","DorielVillage","Doriel_village","Doriel_villageLeer","Leer",NA,"IOM IDP, UNMISS, OCHA IDP",1,30.22981,8.21428,15774,"BE-0608","","","","","Unity","Yang","",7,50,1,"NS"
"9779","JiahLual","Jiah_Lual","Jiah_LualPanyijiar","Panyijiar",NA,"VAS",0,30.1901,7.70377,15620,"BN-1659","","","","","Unity","Nyal","Tiam",6,30,1,"GPS"
"9780","Acieek","Acieek","AcieekRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.63754,7.70385,13602,"BM-0916","","","","","Lakes","Malueeth","Acieek",6,20,0,"inside County"
"9781","Gondier","Gondier","GondierPanyijiar","Panyijiar",NA,"VAS",0,30.1985,7.70447,15621,"BN-1660","","","","","Unity","Nyal","Youp",6,30,1,"GPS"
"9782","Nyapran","Nyapran","NyapranPanyijiar","Panyijiar",NA,"VAS",0,30.23853,7.70453,15622,"BN-1661","","","","","Unity","Nyal","Janglow",6,30,1,"GPS"
"9783","HaiKerech","HAI_KERECH","HAI_KERECHWau","Wau",NA,"OCHA COD, NBS Western Bahr el Ghazal",1,27.99428,7.70467,5549,"BL-0196","","","","","WesternBahrelGhazal","Wau South","HAI KERECH B",6,30,1,"Check"
"9784","Jiel","Jiel","JielDuk","Duk",NA,"OCHA COD, NBS Jonglei",1,31.34232,7.70467,573,"BN-0278","","","","","Jonglei","Padiet","Bongjok",6,20,1,""
"9785","Ganda","Ganda","GandaRaja","Raja",NA,"WFP, OCHA COD, UNMISS, NBS Western Bahr el Ghazal",1,26.82412,7.70473,8315,"BK-0034","","","","","WesternBahrelGhazal","Uyujuku","",6,50,1,""
"9786","Amumkur","Amumkur","AmumkurRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.78891,7.70532,13538,"BM-0851","","","","","Lakes","Madol","Panhiam-acot",6,20,0,"inside County"
"9787","Kamsur","Kamsur","KamsurRaja","Raja",NA,"WFP, OCHA COD, UNMISS, NBS Western Bahr el Ghazal",0,26.38422,7.70537,8316,"BK-0035","","","","","WesternBahrelGhazal","Uyujuku","",6,50,1,""
